epoch,acc,loss,val_acc,val_loss
0,0.326169490814209,1.7800641059875488,0.33755922317504883,1.8288346529006958
1,0.4350551962852478,1.5144665241241455,0.4625243842601776,1.4875000715255737
2,0.47514715790748596,1.3897819519042969,0.4625243842601776,1.4243793487548828
3,0.5035354495048523,1.321388840675354,0.5280022025108337,1.2693979740142822
4,0.5183740258216858,1.280146837234497,0.5445806384086609,1.2191773653030396
5,0.5333518981933594,1.2450284957885742,0.5575369000434875,1.1962454319000244
6,0.5435577630996704,1.2135215997695923,0.5646419525146484,1.1697465181350708
7,0.5519871711730957,1.196058750152588,0.537754237651825,1.2417775392532349
8,0.5588839650154114,1.174600601196289,0.5755084753036499,1.1397056579589844
9,0.5648403167724609,1.1631959676742554,0.5717470049858093,1.1778424978256226
10,0.5697864890098572,1.1499260663986206,0.5748119354248047,1.1614350080490112
11,0.5737922191619873,1.1313421726226807,0.5685427784919739,1.13650381565094
12,0.5795395374298096,1.1192930936813354,0.5645026564598083,1.2051360607147217
13,0.5843812227249146,1.1103930473327637,0.5706325173377991,1.1470363140106201
14,0.588909387588501,1.0993034839630127,0.5894399285316467,1.0940895080566406
15,0.5908600091934204,1.0922935009002686,0.6014209985733032,1.071024775505066
16,0.594273567199707,1.0840301513671875,0.5977988243103027,1.0801010131835938
17,0.5956668853759766,1.0781059265136719,0.5908331274986267,1.0949089527130127
18,0.5991849303245544,1.0691865682601929,0.5913903713226318,1.097805142402649
19,0.6030513048171997,1.0626616477966309,0.5867930054664612,1.1289565563201904
20,0.6030164957046509,1.0606343746185303,0.5941766500473022,1.0939335823059082
21,0.6073356866836548,1.0523003339767456,0.5925048589706421,1.1218222379684448
22,0.6094256043434143,1.0496554374694824,0.6111730337142944,1.0438096523284912
23,0.6077885031700134,1.0463939905166626,0.5976595282554626,1.082332730293274
24,0.6122470498085022,1.0379383563995361,0.6223182082176208,1.0218526124954224
25,0.6164268851280212,1.0293742418289185,0.569796621799469,1.1839604377746582
26,0.6187955141067505,1.022462248802185,0.5936194062232971,1.0809868574142456
27,0.619805634021759,1.0243148803710938,0.6117302775382996,1.0406084060668945
28,0.6211989521980286,1.0203975439071655,0.6205071210861206,1.035291314125061
29,0.6227315664291382,1.0117121934890747,0.6099191904067993,1.0748246908187866
30,0.6218259334564209,1.0143920183181763,0.6117302775382996,1.0284063816070557
31,0.6233236789703369,1.0087777376174927,0.6207857131958008,1.037851095199585
32,0.6234978437423706,1.0057389736175537,0.6060183644294739,1.058556318283081
33,0.6252743005752563,1.0008301734924316,0.5932014584541321,1.0941720008850098
34,0.6248214840888977,1.0007591247558594,0.6050431728363037,1.049180507659912
35,0.6293845176696777,0.9941359758377075,0.6071329116821289,1.054382562637329
36,0.6290013790130615,0.9852304458618164,0.6135413646697998,1.04813551902771
